,n_estimators,learning_rate,max_depth,reg_lambda,auc (mean),auc (std),auc (se)
0,275,0.07630828937395717,4,3.42103900336827e-05,0.8299748246191019,0.011436295592488916,0.00511446687111729
1,296,0.7799187922401146,9,2.880259022108664,0.7856465557340447,0.0166693985723992,0.0074547816703845115
2,637,0.4384092314408935,6,0.011718300213343,0.7844890303408298,0.01146642494606885,0.0051279411276618616
3,602,0.7234651778309412,3,1.1594612660803993,0.7837326404357465,0.015716074393821878,0.007028442136805904
4,679,0.9779895119966027,3,70.13367297793957,0.8066270148821534,0.011553248482853308,0.005166769793721262
5,311,0.5384958704104337,7,0.05881269664508253,0.7859876247385993,0.014669475545425945,0.006560388902768643
6,715,0.5011204636599379,7,0.03219906387540513,0.7828482411464421,0.016720303380238912,0.007477546992526744
7,448,0.07205113335976154,9,3.1941693167021575e-05,0.806828295090645,0.013459088740511785,0.006019087467797275
8,285,0.26843898010187117,7,0.0007569598780074763,0.796013027780544,0.01255349690793049,0.0056140944882931984
9,498,0.49988250082555996,8,0.031562944072442256,0.7825303427952977,0.01797244171701349,0.008037520280179039
10,635,0.6792299961209405,9,0.5683422900188444,0.7816199311841256,0.01460236651116691,0.00653037683026713
11,684,0.8037390361043755,10,4.228372627358394,0.7813849374865696,0.018479594120754398,0.008264325730122458
12,445,0.3809411331485384,10,0.004640747421494691,0.7862286719270017,0.017627001467891822,0.007883034704338938
13,466,0.06593634690590511,8,2.894372534141941e-05,0.8079328999365825,0.013120595653742078,0.005867708757411116
14,654,0.28814559930799355,7,0.0010399661297354277,0.7889218005597513,0.014097424136761882,0.006304559735489172
15,830,0.9095935277196137,6,23.289206625942448,0.7864890637529547,0.018092553263943656,0.008091235796942741
16,267,0.2133853535799155,4,0.0003116717755136653,0.8109749576124612,0.012621887436689513,0.005644679662557665
17,168,0.4521239618176831,0,0.014617319264673755,0.7905026608498996,0.022137658618153803,0.009900261906575192
18,532,0.9312060196890217,7,32.994544549739125,0.7908421542434709,0.016802229435610737,0.007514185438314706
19,995,0.024899227550348013,0,1.4938073530255073e-05,0.8008618919648427,0.01688988100883278,0.007553384413526564
20,491,0.6005489174641225,7,0.1598977756366898,0.7849708168019748,0.013719797401257955,0.006135679925347548
21,612,0.9501295004136456,10,44.76169285746904,0.7918278299414567,0.01674884502739704,0.007490311205173822
22,175,0.2303028790209648,6,0.0004093739026126377,0.8047752870822175,0.014144344865953437,0.006325543323494407
23,923,0.5484899192360304,3,0.06909226572928347,0.7771572571135068,0.011646971735210829,0.005208684106390018
24,350,0.9091283748867313,5,23.115251562242385,0.7948708261049587,0.01669479893014266,0.0074661410556979505
25,106,0.13316944575925016,8,8.554332369800195e-05,0.8163694139513311,0.013777946241793678,0.006161684877397684
26,887,0.5234125806737658,8,0.046119868965229585,0.7807751875009827,0.01447357974993644,0.006472781639724457
27,544,0.7504098591020348,7,1.7900658760866581,0.7832476487036095,0.016690925980998066,0.007464409020185808
28,144,0.6690132408839138,5,0.4820506648563808,0.7946289911110644,0.016250760932097385,0.007267561226053519
29,803,0.4677528597449807,0,0.018804856263939452,0.7826336943589851,0.017603393985522933,0.007872477117268045
30,425,0.20484909029779508,0,0.00027160867198454207,0.7907303087935471,0.0157154708842547,0.007028172239122447
31,924,0.49076588909107044,2,0.027249668519394723,0.7941483757121368,0.011429668063862487,0.005111502950210986
32,252,0.372384689385059,8,0.004042898383763264,0.7909606493613698,0.016139129885762223,0.007217638304452548
33,283,0.4774011548515884,9,0.02196888846456498,0.7884071178963202,0.017932705812296907,0.008019749843360293
34,212,0.36589038578059296,6,0.0036411007864458524,0.7960003066053805,0.01050753359004506,0.004699111876640631
35,863,0.8379179943092606,4,7.335436470209231,0.7831832058868232,0.01379731980115056,0.0061703489965353065
36,289,0.7686475065195093,9,2.4017762480864993,0.7851927552031195,0.015176926047599792,0.006787327666384069
37,390,0.31399467721266217,7,0.0015774759271931739,0.7950046269241453,0.013174539578993196,0.005891833214178049
38,412,0.572625332643954,3,0.1019476756387306,0.7909464688625203,0.011698900852214079,0.00523190751351618
39,301,0.2760490483306951,3,0.0008557429665630984,0.8104361674458461,0.01108814510041199,0.004958769237780488
40,562,0.4528429325464004,8,0.014787696473216948,0.7843311252941577,0.014415743791303991,0.006446916612715253
41,650,0.3529783659443947,3,0.002956981188076163,0.7887761024035765,0.013301993447556918,0.00594883231699881
42,872,0.6573994627797582,0,0.39975714930110345,0.7812815941121285,0.018336704598186506,0.0082004235929756
43,594,0.3703510829880352,1,0.0039125291019984024,0.8424002353261809,0.01285729575577593,0.0057499574633469025
44,237,0.45909297789143144,0,0.01635501117633939,0.7890017734631732,0.02105519298251351,0.009416168557655348
45,955,0.7193241225090415,0,1.0845981456038518,0.7813094080681765,0.01472280742173623,0.006584239642928125
46,583,0.4129918291138346,6,0.007779340910540886,0.7827783524808829,0.016949946094664974,0.0075802463365255935
47,295,0.9064232691643387,7,22.129055812975427,0.7925301724589751,0.016834708106450855,0.007528710341478176
