,C,gamma,auc (mean),auc (std),auc (se)
0,0.002812689058414437,3.5783036151318345e-06,0.8307319744862396,0.0200374456835147,0.008961018128759721
1,48.44835729197624,0.7061124238927322,0.7256762679573793,0.023461536665714215,0.010492318168228149
2,0.4257813397313312,0.0019000206136460338,0.8304371714474396,0.01969841058849001,0.00880939702491306
3,22.151055757192886,0.2654716018524778,0.7522988573708457,0.021186526724399076,0.009474902792574456
4,754.716099630277,21.852672171491708,0.6449255695784568,0.030026470195113827,0.013428245696129177
5,1.7051721625898764,0.010764288402345461,0.8260781339262785,0.02075423037756788,0.009281573988986581
6,1.015654187450796,0.005632579909567734,0.8305518814957102,0.02043496540338963,0.009138794351967124
7,0.002651496698028075,3.3238307076191213e-06,0.8311288564798558,0.01956353478996544,0.008749078734108958
8,0.040351877241338784,9.990902301190463e-05,0.8309823754317371,0.01996968422381813,0.008930714282732491
9,0.9983724414826007,0.005513035171056322,0.8305711819113307,0.02040157028982009,0.00912385960315556
10,11.996984537403046,0.12334318434617159,0.7765975876445894,0.016517502805632186,0.007386851818387412
11,67.40486053190868,1.0669376741083783,0.7166458894569678,0.026019706616535517,0.011636366549834893
12,0.19195268731118661,0.0007018879365901262,0.8304928534085608,0.019698823666842665,0.008809581759168373
13,0.002435995085667387,2.9896513361553433e-06,0.830850011006347,0.019569953640188157,0.008751949331196036
14,0.053028508671828026,0.000140576200004546,0.8302426932269036,0.020051351143236723,0.008967236839399087
15,292.41440117551224,6.679954115993473,0.6603704880528725,0.025506314824417644,0.011406770760581693
16,0.018810826796744964,3.848441491494224e-05,0.8312809242317833,0.019720320358978506,0.008819195372149799
17,0.5149410671168924,0.0024097497470709074,0.8304338744568893,0.019705205491217685,0.008812435797792974
18,394.56533282316326,9.714572381041219,0.6555425801497912,0.02781553953507541,0.012439487446252303
19,0.001379139923285146,1.4682007641057004e-06,0.8313196479017186,0.019504507513199168,0.008722680933433744
20,4.03055455411656,0.031548668681524276,0.8033312183239956,0.019477979345932678,0.008710817176368471
21,512.919997117692,13.484569048848005,0.6501332554153849,0.028903272568012162,0.012925936446856022
22,0.02378272076561515,5.159432720059168e-05,0.8309635434410033,0.019970015990125864,0.00893086265313584
23,1.9585668681641446,0.012799648311491675,0.8208916303937652,0.020839150210271714,0.009319551292699317
24,290.53486630567,6.626326871411681,0.6604145789548163,0.026583278870868948,0.011888403724019364
25,0.006186713388474497,9.585174610448768e-06,0.8308413648001298,0.01949399988029331,0.00871798177714172
26,1.3834318856467434,0.008288429713744161,0.8297409544861347,0.020709913083282284,0.00926175469246629
27,32.18233683089443,0.4234449935546928,0.739143648879187,0.022892812523361963,0.010237976999679169
28,10.412645988716566,0.10332999581057584,0.7808930635118633,0.015920338845499947,0.007119791976673681
29,0.639518143502591,0.003159301838674687,0.8304511832478159,0.019447973142603582,0.008697397994290364
30,0.0167114624961116,3.319274013141588e-05,0.8309565678410264,0.019620752089391385,0.008774667088310033
31,0.8798428571905315,0.004707403472270236,0.8305243459740355,0.020102321189360724,0.008990031336989
32,0.1704822906206765,0.0006051654459575921,0.8304470722461857,0.019711268414049618,0.008815147219311883
33,0.7310404278021966,0.0037342361258343106,0.830371500243712,0.019795816173942236,0.008852958127004928
34,0.1558043820771891,0.0005407538471132736,0.8304719315221778,0.01976192270113231,0.008837800505165621
35,108.26025538021527,1.9291293192384353,0.6976665790963266,0.02755781625217241,0.012324230090261198
36,41.439943484909186,0.5808299142839018,0.7305345252071552,0.024167231417137686,0.010807914455337688
37,0.07588158080414063,0.00022001155710873964,0.8303155365725188,0.01971834457632237,0.008818311775284221
38,2.736831573292945,0.019446216734261508,0.8137100348403294,0.01949329849790574,0.008717668109402355
39,0.04484158136035836,0.0001139924747706942,0.830382305135247,0.02000771711879166,0.008947723110440876
40,0.5200991736784438,0.00243996017160481,0.8304260471752997,0.019670321035628224,0.008796834994981753
41,0.1302691450060772,0.00043234156069003784,0.8304284040403775,0.019696438944226114,0.008808515278792756
42,8.864192767006436,0.08449364048247934,0.7842447189188622,0.018056044570883414,0.008074908613052266
43,0.16574320838807977,0.0005842109722983943,0.8304795327805701,0.019664044908247778,0.008794028225490129
