,ccp_alpha,criterion,min_samples_split,auc (mean),auc (std),auc (se)
0,0.0003421039003368271,entropy,6,0.69383323058559,0.020839542565977476,0.009319726759505206
1,28.80259022108657,entropy,27,0.5,0.0,0.0
2,0.11718300213342993,entropy,5,0.7247867913353844,0.013577451431626314,0.006072020872463655
3,11.594612660803964,entropy,21,0.5,0.0,0.0
4,701.3367297793941,entropy,25,0.5,0.0,0.0
5,0.5881269664508249,entropy,30,0.5,0.0,0.0
6,0.3219906387540511,entropy,16,0.5,0.0,0.0
7,0.0003194169316702161,gini,25,0.7788566600191825,0.018952832129854314,0.008475964201699273
8,0.007569598780074765,gini,10,0.7905499521092878,0.01648815185333645,0.007373725673479888
9,0.31562944072442234,gini,27,0.5,0.0,0.0
10,5.68342290018844,gini,28,0.5,0.0,0.0
11,42.28372627358384,entropy,10,0.5,0.0,0.0
12,0.04640747421494688,entropy,40,0.7247867913353844,0.013577451431626314,0.006072020872463655
13,0.00028943725341419444,gini,6,0.692845594382046,0.0320433214130515,0.014330208980891554
14,0.01039966129735428,gini,9,0.7831811192668725,0.013298482503171925,0.005947262174936797
15,232.8920662594239,entropy,2,0.5,0.0,0.0
16,0.003116717755136654,gini,13,0.7973985991147752,0.01511487013663087,0.006759575419317632
17,0.1461731926467376,entropy,8,0.5,0.0,0.0
18,329.9454454973905,gini,21,0.5,0.0,0.0
19,0.0001493807353025509,gini,7,0.6817328625281055,0.04303609940406302,0.01924632875078462
20,1.598977756366897,entropy,26,0.5,0.0,0.0
21,447.6169285746894,gini,2,0.5,0.0,0.0
22,0.004093739026126378,gini,36,0.7957942176714763,0.01382353105122571,0.0061820710239239626
23,0.6909226572928343,gini,11,0.5,0.0,0.0
24,231.15251562242327,entropy,16,0.5,0.0,0.0
25,0.0008554332369800198,gini,40,0.8175648178842657,0.013391803661341363,0.005988996665617971
26,0.46119868965229555,entropy,6,0.5,0.0,0.0
27,17.900658760866538,gini,11,0.5,0.0,0.0
28,4.820506648563805,gini,25,0.5,0.0,0.0
29,0.18804856263939457,entropy,37,0.5,0.0,0.0
30,0.002716086719845421,entropy,5,0.8252073746455695,0.0095776078973293,0.004283236464053428
31,0.27249668519394704,entropy,10,0.5,0.0,0.0
32,0.04042898383763265,entropy,21,0.7247867913353844,0.013577451431626314,0.006072020872463655
33,0.21968888464564984,entropy,3,0.5,0.0,0.0
34,0.036411007864458535,entropy,2,0.7247867913353844,0.013577451431626314,0.006072020872463655
35,73.35436470209214,entropy,18,0.5,0.0,0.0
36,24.017762480864935,entropy,33,0.5,0.0,0.0
37,0.01577475927193174,entropy,31,0.7831811192668725,0.013298482503171925,0.005947262174936797
38,1.0194767563873053,gini,30,0.5,0.0,0.0
39,0.008557429665630986,entropy,9,0.8066652390080662,0.01321560333569948,0.005910197484459402
40,0.14787696473216938,gini,25,0.5,0.0,0.0
41,0.02956981188076164,gini,12,0.7247867913353844,0.013577451431626314,0.006072020872463655
42,3.9975714930110247,entropy,37,0.5,0.0,0.0
43,0.039125291019984035,gini,2,0.7247867913353844,0.013577451431626314,0.006072020872463655
44,0.1635501117633938,entropy,9,0.5,0.0,0.0
45,10.84598145603849,entropy,25,0.5,0.0,0.0
46,0.0777934091054088,gini,30,0.5,0.0,0.0
47,221.29055812975372,gini,34,0.5,0.0,0.0
48,0.0018329952283910466,gini,23,0.8166114274707938,0.010887986580075318,0.004869255626230773
49,15.411045774082034,gini,38,0.5,0.0,0.0
50,0.09049369166598652,gini,37,0.5,0.0,0.0
51,0.09664402495119853,entropy,35,0.7247867913353844,0.013577451431626314,0.006072020872463655
52,2.758411663144407,entropy,5,0.5,0.0,0.0
53,0.4574497632854768,gini,29,0.5,0.0,0.0
54,0.08020507496488354,entropy,35,0.7247867913353844,0.013577451431626314,0.006072020872463655
55,0.00010232651043074449,entropy,21,0.742158600149896,0.012101270576249105,0.00541185272452221
56,0.0004424217007475802,entropy,29,0.7606609671696394,0.009143810727885912,0.0040892364721889455
57,9.241889169605251,entropy,6,0.5,0.0,0.0
58,0.46818681322474465,gini,21,0.5,0.0,0.0
59,7.466606166101559,entropy,35,0.5,0.0,0.0
60,487.8409592923342,gini,32,0.5,0.0,0.0
61,6.031106265603604,gini,39,0.5,0.0,0.0
62,0.00023545116015340445,gini,11,0.7283510526784731,0.04263717714960554,0.019067925295043742
63,0.014520072807807987,gini,31,0.7755236957478813,0.015931090618578888,0.007124600315770314
64,1.406574731586179,entropy,19,0.5,0.0,0.0
65,0.004424282509972467,gini,33,0.7957942176714763,0.01382353105122571,0.0061820710239239626
66,568.5870927735826,gini,4,0.5,0.0,0.0
67,412.4179570051422,gini,21,0.5,0.0,0.0
68,86.85726817577174,entropy,20,0.5,0.0,0.0
69,0.2024267833423746,entropy,23,0.5,0.0,0.0
70,77.68497034503116,entropy,5,0.5,0.0,0.0
71,0.0008275123736661972,gini,13,0.8141590479378824,0.010487323398944202,0.0046900736044126765
72,0.014492242786072336,entropy,18,0.7859627834789491,0.018821446990247664,0.008417206981020518
73,0.174170564362564,gini,14,0.5,0.0,0.0
74,15.593026062674324,gini,31,0.5,0.0,0.0
75,0.2516382179629996,gini,11,0.5,0.0,0.0
76,0.0009080982350199686,entropy,14,0.7674626635883836,0.015490923412336197,0.006927751556845348
77,0.025395438019934147,entropy,5,0.7500925499478509,0.02709602116474946,0.012117709048830564
78,0.018663074414371122,entropy,16,0.7771308386050241,0.01579886427695135,0.007065466898111256
79,0.01267454361547325,gini,22,0.7771308386050241,0.01579886427695135,0.007065466898111256
80,0.0014404885257985926,entropy,17,0.8149142029046275,0.01382657384376591,0.0061834318021162255
