,n_neighbors,weights,p,auc (mean),auc (std),auc (se)
40,5,uniform,5,0.7756118857410155,0.017031692070581323,0.007616804248332797
41,138,uniform,3,0.828344738769595,0.015231816445467943,0.006811875398573107
42,88,distance,2,0.8237119806052442,0.013443809057229238,0.006012254185698387
43,196,uniform,4,0.8259125719343391,0.015389974783203189,0.006882605957449983
44,73,distance,1,0.8237646554751334,0.014761932169194029,0.006601736761911755
45,84,distance,5,0.8233388179445387,0.013108131997007375,0.0058621348406697115
46,177,uniform,1,0.8302002319849684,0.017771338313417793,0.007947584103989729
47,2,uniform,5,0.6988576329016398,0.01132740487615793,0.005065769462350343
48,193,uniform,4,0.8259978269016086,0.015497918274389844,0.0069308797542543855
49,145,uniform,2,0.8286621539552094,0.01585592470254518,0.0070909850962018305
50,119,uniform,4,0.828350654681104,0.01450816011487769,0.006488246449063534
51,160,distance,4,0.8240905629091347,0.012390370842145094,0.005541142293893549
52,94,distance,4,0.8228439679977357,0.013106212077020665,0.005861276226349383
53,173,uniform,2,0.8281369694023553,0.015862639635300282,0.007093988105422781
54,93,distance,4,0.8229420063784401,0.01312458043086237,0.005869490803914347
55,72,distance,4,0.8237099955319472,0.012758458266460434,0.005705755994379931
56,24,distance,5,0.8143987635548404,0.014233802238015722,0.006365549876498359
57,11,distance,4,0.7973891110540412,0.012171090645664705,0.005443077208803617
58,36,uniform,2,0.8276106743877063,0.015219748715124692,0.006806478545496778
59,193,distance,4,0.823696222857562,0.012688503563059316,0.005674471299949784
60,62,uniform,2,0.8301862594929743,0.013937759021394018,0.006233155325169593
61,136,uniform,2,0.8294973227716079,0.016047697961838983,0.0071767487050113585
62,152,uniform,2,0.8283054664201593,0.016370371583483326,0.007321052735519917
63,93,uniform,3,0.8280199696408262,0.01576971951650109,0.0070524329650003105
64,150,distance,4,0.8242455787897212,0.012958754779531421,0.0057953313181565115
65,101,uniform,3,0.8288762732640107,0.015403878472031791,0.006888823876121736
66,164,uniform,3,0.8271362238533744,0.014629495044483527,0.006542509079192295
67,68,uniform,4,0.8292657751088843,0.01415848762448671,0.006331868157388359
68,124,distance,4,0.824550292454363,0.012854757788346377,0.005748822449807471
69,20,distance,3,0.8106963922111751,0.014487060679254891,0.006478810494595643
70,156,distance,1,0.8261273169015562,0.015156089379986875,0.006778009225342658
71,5,uniform,5,0.7756118857410155,0.017031692070581323,0.007616804248332797
72,20,distance,4,0.8105899582151899,0.014835995819028275,0.006634859033049978
73,34,uniform,2,0.8270021511512115,0.015980930338099386,0.0071468893159357845
74,124,uniform,2,0.8293264328560422,0.01577117205410835,0.007053082559566252
75,31,uniform,5,0.8277849890460642,0.015544678033399602,0.006951791354205851
76,186,distance,4,0.8236631628703506,0.012209354959807303,0.0054601895303106685
77,74,distance,5,0.8238171288895643,0.013180103065976258,0.005894321281195262
78,128,distance,5,0.8243822016231741,0.01243893550122029,0.005562861069692796
79,160,uniform,5,0.8271314806419321,0.014806327213911558,0.0066215908294822625
80,131,distance,4,0.8246442345740806,0.01300741549723328,0.005817093052679568
81,84,uniform,4,0.8283114658619803,0.01533194749347478,0.006856655364573424
82,179,distance,1,0.8259950261793826,0.015261518284605983,0.006825158464846992
83,147,distance,5,0.8243947704783569,0.012805129163254117,0.005726627853940241
84,22,uniform,4,0.8241727698389404,0.015339103377851902,0.0068598555733546986
85,120,distance,1,0.8249147728761681,0.015370462251559643,0.006873879688016366
