,LR,DT,KNN,RF,XGB,SVM
Accuracy,0.810,0.793,0.802,0.806,0.813,0.798
Precision,0.672,0.677,0.626,0.696,0.684,0.628
Recall,0.552,0.418,0.630,0.475,0.550,0.585
F1-Score,0.606,0.517,0.628,0.565,0.610,0.605
F2.-Score,0.573,0.452,0.629,0.508,0.573,0.593
AUROC,0.858,0.837,0.841,0.852,0.860,0.846
AUPR,0.679,0.665,0.632,0.676,0.687,0.665
