,n_estimators,criterion,max_features,max_depth,auc (mean),auc (std),auc (se)
71,401,gini,0.13111064234791392,6,0.8403092324907364,0.014485310182892834,0.006478027648823657
72,161,entropy,0.3087336572978354,16,0.823971194817583,0.014456262657623788,0.006465037200607712
73,102,gini,0.46299639415441707,10,0.8306489584589016,0.011518316644393895,0.005151147800646404
74,257,gini,0.7418472006834668,12,0.8242948993443362,0.012767906566217175,0.005709981402485504
75,234,gini,0.48582522870889666,2,0.827873344461973,0.015070305708371333,0.006739645601124284
76,159,entropy,0.13687611879745087,14,0.8259377555044838,0.015011772310651218,0.006713468669873043
77,366,entropy,0.34353652970435833,20,0.8222817189162417,0.014637151252357063,0.006545933039443314
78,429,entropy,0.324426169672443,16,0.8240447751953626,0.014262498873104698,0.00637838340185525
79,491,gini,0.30041890431803975,4,0.8386051961095184,0.014159987065041136,0.006332538727589943
80,77,entropy,0.16550140046578743,12,0.8292150803987444,0.015094589660533836,0.006750505714683826
81,389,gini,0.414901772573252,6,0.8419279516664133,0.01243803561807651,0.005562458629716538
82,229,entropy,0.44812065750272334,,0.8220146135461925,0.01438352760902037,0.0064325090980029125
83,491,entropy,0.7749003758140172,20,0.8212616287297102,0.013151827945717431,0.005881676263001118
84,29,gini,0.7963907007825485,6,0.8381085183229471,0.012202896907408655,0.005457301401477542
85,421,entropy,0.5223901280016119,12,0.8296541468377716,0.01219874788434212,0.005455445901954144
86,14,entropy,0.4606302961632769,,0.7992295147642283,0.01903888550067025,0.00851444843906676
87,285,entropy,0.7782136015438966,20,0.820680698339614,0.013419593610742707,0.006001424708808508
88,43,entropy,0.8872889518527348,16,0.8168049999606917,0.011653059488474019,0.005211406632415367
89,133,entropy,0.6749187698667877,16,0.8214023117914664,0.013523988526942511,0.00604811153463414
90,296,gini,0.8004790489984636,2,0.8241376871078989,0.01551075174143397,0.0069366190551939195
91,195,entropy,0.9391113537321853,18,0.8206347140839313,0.013510959070768346,0.006042284584691082
92,239,gini,0.040655809436685786,12,0.8248379692110547,0.016224721710961627,0.007255916132345378
93,339,gini,0.8756717248700833,4,0.8378395998537729,0.013059153648216337,0.005840231057205221
94,487,gini,0.2765630724511342,6,0.8414136653625018,0.012529980338054256,0.0056035775585250224
95,475,entropy,0.47576449942424426,12,0.830704298109529,0.011563919865460098,0.0051715421811058
96,393,entropy,0.7967609569319023,16,0.8224814529950366,0.013898686774008887,0.006215681684932225
97,425,entropy,0.71724223227523,12,0.8299508661602001,0.010972622001794882,0.004907105737484634
98,140,entropy,0.14714757194169303,14,0.825561574287601,0.014628025587978842,0.006541851918265404
99,93,entropy,0.6587482589541455,20,0.81927547936572,0.014893540138910089,0.006660593635244924
